#for letting users know that Sugimoto et al. genes with zero levels of expression are due to the fact that they aren't on the Qiagen V1.0 oligo array that Sugimoto et al. used (Chatfield et al., 2012; Lookup from 2009-07-29)
AtMg00640	244901_at
266286_at	266286_at
At2g26980	266313_at
At2g27030	266317_at
At2g46630	266325_at
At2g01550	266343_at
At1g42605	266373_x_at
At2g14650	266373_x_at
At3g31970	266373_x_at
At4g10580	266373_x_at
At2g14640	266374_at
At2g14595	266382_at
266388_at	266388_at
At2g31580	266389_s_at
At2g32320	266389_s_at
266398_at	266398_at
At2g38520	266408_at
At2g38700	266414_at
At2g07200	266430_at
At2g07230	266431_at
At1g36035	266432_s_at
At2g07080	266432_s_at
At2g43235	266440_at
266445_at	266445_at
At2g47970	266459_at
At2g31080	266470_at
266472_at	266472_at
At2g31085	266477_at
At2g47640	266482_at
At2g47660	266487_at
At2g07010	266491_at
At5g55875	266491_at
At2g07030	266493_at
At2g06950	266497_at
At2g06980	266499_at
At2g06925	266500_at
At2g47990	266510_at
At2g35155	266519_at
At2g16840	266527_at
At2g16835	266531_at
At2g35075	266543_at
At2g24070	266568_at
At2g23860	266573_at
At2g23945	266577_at
At2g46220	266583_at
At2g14930	266585_at
At2g14970	266586_s_at
At3g32950	266586_s_at
At4g08060	266586_s_at
At5g28526	266586_s_at
266599_at	266599_at
At2g35510	266609_at
At2g14950	266610_at
At2g35590	266629_at
At2g35570	266631_at
At2g35570	266632_at
At2g35520	266639_at
At2g35585	266640_at
266647_at	266647_at
At2g25735	266658_at
At2g19840	266681_at
266683_at	266683_at
266714_at	266714_at
At2g46730	266739_at
266748_at	266748_at
266759_at	266759_at
At2g46910	266767_at
At1g12935	266769_s_at
At1g18930	266769_s_at
At2g03080	266769_s_at
At2g04130	266769_s_at
At2g04140	266769_s_at
At3g29440	266769_s_at
At3g42883	266769_s_at
At3g44390	266769_s_at
At3g47165	266769_s_at
At3g50490	266769_s_at
At4g12426	266769_s_at
At4g17820	266769_s_at
At4g20180	266769_s_at
At5g26590	266769_s_at
At5g28466	266769_s_at
At5g33315	266769_s_at
At5g56605	266769_s_at
At2g28980	266786_at
At2g28930	266803_at
At2g29995	266808_at
At2g44930	266823_at
266833_at	266833_at
266878_at	266878_at
At2g44590	266879_at
At2g44745	266886_at
At2g34580	266902_at
266907_at	266907_at
At2g45950	266922_s_at
At3g61415	266922_s_at
At2g07730	266931_at
At2g18915	266935_at
At2g18820	266943_at
266944_at	266944_at
266960_at	266960_at
At2g07720	266961_at
At2g39435	266962_at
At2g39410	266976_at
266997_at	266997_at
At2g34460	267005_at
At2g38465	267036_at
At2g34315	267041_at
267049_at	267049_at
267067_at	267067_at
267072_at	267072_at
At2g38185	267091_at
267097_at	267097_at
At2g41451	267098_at
267100_at	267100_at
267105_at	267105_at
At1g27800	267111_s_at
At2g05567	267111_s_at
At2g14777	267111_s_at
At3g42750	267111_s_at
At5g35650	267111_s_at
At2g32610	267119_at
At2g23550	267122_at
At2g04310	267149_s_at
At2g12083	267149_s_at
At2g23500	267149_s_at
At3g29695	267149_s_at
At2g30925	267155_at
267161_at	267161_at
At2g37700	267164_at
At2g37580	267177_at
At2g44170	267190_at
At2g31035	267203_at
At2g02515	267218_at
At2g43980	267223_at
267235_at	267235_at
267241_at	267241_at
At2g02670	267242_at
At2g02640	267245_at
267252_at	267252_at
At2g22960	267253_at
267258_at	267258_at
At2g23090	267259_at
At2g02580	267267_at
267272_at	267272_at
267283_at	267283_at
267314_at	267314_at
267315_at	267315_at
267324_at	267324_at
267325_at	267325_at
At2g19380	267326_at
At2g19250	267329_at
267348_at	267348_at
At2g39890	267358_at
At2g44525	267370_at
At2g44460	267389_at
At1g76170	267397_at
At2g44195	267399_at
267456_at	267456_at
At2g33670	267458_at
At2g33735	267462_at
267479_at	267479_at
At2g02830	267480_at
At2g19100	267487_at
267491_at	267491_at
267495_at	267495_at
At2g42010	267536_at
At2g32760	267540_at
At2g32690	267545_at
At2g32640	267549_at
At2g30640	267576_at
At2g42050	267589_at
At2g39705	267591_at
267621_at	267621_at
At2g39690	267622_at
267641_at	267641_at
